T_review,strategy,hiring_mode,seed,cum_pi,mean_K_active,n_hired_total,n_review_fired_total
10.0,all_H,off,3,5233.479825566879,90.16666666666667,0,12
10.0,all_H,off,4,5427.528248143752,91.0,0,11
10.0,all_A,off,0,6999.268752327045,81.33333333333333,0,23
10.0,all_A,off,1,6598.091888468036,86.5,0,17
10.0,all_A,off,2,6765.618738933614,91.16666666666667,0,13
10.0,all_A,off,3,6561.523498537821,84.66666666666667,0,19
10.0,all_A,off,4,7030.596842871724,83.5,0,20
10.0,all_T,off,0,2601.2587624006246,0.0,0,100
10.0,all_T,off,1,2520.229410027477,0.0,0,100
10.0,all_T,off,2,2680.598127764329,0.0,0,100
10.0,all_T,off,3,2372.2705762151136,0.0,0,100
10.0,all_T,off,4,2448.75220918948,0.0,0,100
10.0,greedy_with_switching,off,0,4249.180962428529,46.166666666666664,0,49
10.0,greedy_with_switching,off,1,4994.29059668775,62.166666666666664,0,33
10.0,greedy_with_switching,off,2,4470.236320936105,63.0,0,27
10.0,greedy_with_switching,off,3,4463.220335461972,46.666666666666664,0,45
10.0,greedy_with_switching,off,4,4076.4243662703248,49.0,0,45
10.0,horizon_brute,off,0,6999.268752327045,81.33333333333333,0,23
10.0,horizon_brute,off,1,6598.091888468036,86.5,0,17
10.0,horizon_brute,off,2,6765.618738933614,91.16666666666667,0,13
10.0,horizon_brute,off,3,6561.523498537821,84.66666666666667,0,19
10.0,horizon_brute,off,4,7030.596842871724,83.5,0,20
10.0,horizon_optimizer,off,0,6999.268752327045,81.33333333333333,0,23
10.0,horizon_optimizer,off,1,6598.091888468036,86.5,0,17
10.0,horizon_optimizer,off,2,6765.618738933614,91.16666666666667,0,13
10.0,horizon_optimizer,off,3,6561.523498537821,84.66666666666667,0,19
10.0,horizon_optimizer,off,4,7030.596842871724,83.5,0,20
10.0,all_H,enable_hiring,0,5473.206719785867,90.83333333333333,0,11
10.0,all_H,enable_hiring,1,5266.345122159769,92.5,0,9
10.0,all_H,enable_hiring,2,5479.324418222168,97.5,0,3
10.0,all_H,enable_hiring,3,5233.479825566879,90.16666666666667,0,12
10.0,all_H,enable_hiring,4,5427.528248143752,91.0,0,11
10.0,all_A,enable_hiring,0,6999.268752327045,81.33333333333333,0,23
10.0,all_A,enable_hiring,1,6598.091888468036,86.5,0,17
10.0,all_A,enable_hiring,2,6765.618738933614,91.16666666666667,0,13
10.0,all_A,enable_hiring,3,6561.523498537821,84.66666666666667,0,19
10.0,all_A,enable_hiring,4,7030.596842871724,83.5,0,20
10.0,all_T,enable_hiring,0,2601.2587624006246,0.0,0,100
10.0,all_T,enable_hiring,1,2520.229410027477,0.0,0,100
10.0,all_T,enable_hiring,2,2680.598127764329,0.0,0,100
10.0,all_T,enable_hiring,3,2372.2705762151136,0.0,0,100
10.0,all_T,enable_hiring,4,2448.75220918948,0.0,0,100
10.0,greedy_with_switching,enable_hiring,0,4249.180962428529,46.166666666666664,0,49
10.0,greedy_with_switching,enable_hiring,1,4994.29059668775,62.166666666666664,0,33
10.0,greedy_with_switching,enable_hiring,2,4470.236320936105,63.0,0,27
10.0,greedy_with_switching,enable_hiring,3,4463.220335461972,46.666666666666664,0,45
10.0,greedy_with_switching,enable_hiring,4,4076.4243662703248,49.0,0,45
10.0,horizon_brute,enable_hiring,0,6999.268752327045,81.33333333333333,0,23
10.0,horizon_brute,enable_hiring,1,6598.091888468036,86.5,0,17
10.0,horizon_brute,enable_hiring,2,6765.618738933614,91.16666666666667,0,13
10.0,horizon_brute,enable_hiring,3,6561.523498537821,84.66666666666667,0,19
10.0,horizon_brute,enable_hiring,4,7030.596842871724,83.5,0,20
10.0,horizon_optimizer,enable_hiring,0,6999.268752327045,81.33333333333333,0,23
